Id,Title,Type,res
33,句子选择,词汇活动,EduPro_01_01_VB
34,听力测验,短片理解活动,EduPro_01_02_LC
35,自由表达,说话技能活动,EduPro_01_03_LS
36,填一填,词汇活动,EduPro_02_01_VB
37,听力测验,短片理解活动,EduPro_02_02_LC
38,复述故事,说话技能活动,EduPro_02_03_LS
39,连一连,词汇活动,EduPro_03_01_VB
40,听力测验,短片理解活动,EduPro_03_02_LC
41,自由表达,说话技能活动,EduPro_03_03_LS
42,填一填,词汇活动,EduPro_04_01_VB
43,认一认,短片理解活动,EduPro_04_02_LC
44,自由表达 ,说话技能活动,EduPro_04_03_LS
45,句子选择,词汇活动,EduPro_05_01_VB
46,组句成段,短片理解活动,EduPro_05_02_LC
47,自由表达,说话技能活动,EduPro_05_03_LS
48,填一填,词汇活动,EduPro_06_01_VB
49,组句成段,短片理解活动,EduPro_06_02_LC
50,自由表达,说话技能活动,EduPro_06_03_LS
51,句子选择,词汇活动,EduPro_07_01_VB
52,认一认,短片理解活动,EduPro_07_02_LC
53,复述故事,说话技能活动,EduPro_07_03_LS
54,辨字练习,词汇活动,EduPro_08_01_VB
55,组句成段,短片理解活动,EduPro_08_02_LC
56,自由表达,说话技能活动,EduPro_08_03_LS
57,填一填,词汇活动,EduPro_09_01_VB
58,认一认,短片理解活动,EduPro_09_02_LC
59,自由表达,短片理解活动,EduPro_09_03_LS
60,填一填,词汇活动,EduPro_10_01_VB
61,连一连,短片理解活动,EduPro_10_02_LC
62,标点符号,听力技能活动,EduPro_10_03_LS
63,连一连,词汇活动,EduPro_11_01_VB
64,填一填,短片理解活动,EduPro_11_02_LC
65,自由表达,说话技能活动,EduPro_11_03_LS
66,辨字练习,词汇活动,EduPro_12_01_VB
67,填一填,短片理解活动,EduPro_12_02_LC
68,自由表达,说话技能活动,EduPro_12_03_LS
69,填一填,词汇活动,EduPro_13_01_VB
70,填一填,短片理解活动,EduPro_13_02_LC
71,自由表达,说话技能活动,EduPro_13_03_LS
72,填一填,词汇活动,EduPro_14_01_VB
73,填一填,短片理解活动,EduPro_14_02_LC
74,看图说话,说话技能活动,EduPro_14_03_LS
75,连一连,词汇活动,EduPro_15_01_VB
76,填一填,短片理解活动,EduPro_15_02_LC
77,自由表达,说话技能活动,EduPro_15_03_LS
78,选择读音,词汇活动,EduPro_16_01_VB
79,组句成段,短片理解活动,EduPro_16_02_LC
80,自由表达,说话技能活动,EduPro_16_03_LS
81,填一填 ,词汇活动,EduPro_17_01_VB
82,认一认,短片理解活动,EduPro_17_02_LC
83,看图说话,说话技能活动,EduPro_17_03_LS
84,选一选,词汇活动,EduPro_18_01_VB
85,填一填,短片理解活动,EduPro_18_02_LC
86,自由表达,说话技能活动,EduPro_18_03_LS
87,连一连,词汇活动,EduPro_19_01_VB
88,填一填,短片理解活动,EduPro_19_02_LC
89,自由表达                                             ,说话技能活动,EduPro_19_03_LS
90,选一选,词汇活动,EduPro_20_01_VB
91,认一认,短片理解活动,EduPro_20_02_LC
92,自由表达,说话技能活动,EduPro_20_03_LS
93,填一填,词汇活动,EduPro_21_01_VB
