Id,Title,Type,res
508,书包太重 - 第二集,影片（全集）,LuV_CL_P6T1Ex01
509,说话练习,活动,LuV_CL_P6T1Ex01_0_SP
510,成语万花筒 - 第九集,影片（全集）,LuV_CL_P6T1Ex02
511,短文填空,活动,LuV_CL_P6T1Ex02_0_AM
512,放心出去看 - 第二集,影片（全集）,LuV_CL_P6T1Ex03
513,说话练习,活动,LuV_CL_P6T1Ex03_0_WE
514,我们的大日子 - 第七集,影片（全集）,LuV_CL_P6T1Ex04
515,写作练习,活动,LuV_CL_P6T1Ex04_0_SP
516,万里香 - 第十集,影片（全集）,LuV_CL_P6T1Ex05
517,摘录短片要点,活动,LuV_CL_P6T1Ex05_0_VD
518,爸爸当家 - 第一集,影片（全集）,LuV_CL_P6T2Ex01
519,说话练习 ,活动,LuV_CL_P6T2Ex01_0_EM
520,小厨当家 - 第三集,影片（全集）,LuV_CL_P6T2Ex02
521,摘录短片要点,活动,LuV_CL_P6T2Ex02_0_SP
522,医聊保健 - 第二集,影片（全集）,LuV_CL_P6T2Ex03
523,短文填空,活动,LuV_CL_P6T2Ex03_0_LC
524,放心出去看 - 第七集,影片（全集）,LuV_CL_P6T2Ex04
525,摘录短片要点,活动,LuV_CL_P6T2Ex04_0_CP
526,小厨当家 - 第二集,影片（全集）,LuV_CL_P6T2Ex05
527,说话练习,活动,LuV_CL_P6T2Ex05_0_LC
528,游学列车 - 第六集,影片（全集）,LuV_CL_P6T2Ex06
529,写作练习,活动,LuV_CL_P6T2Ex06_0_LU
530,爱上小红点 - 第十集,影片（全集）,LuV_CL_P6T2Ex07
531,听力理解,活动,LuV_CL_P6T2Ex07_0_LC
532,女王本色 - 第二集,影片（全集）,LuV_CL_P6T3Ex01
533,自由讨论,活动,LuV_CL_P6T3Ex01_0_OE
534,放心出去看 - 第一集,影片（全集）,LuV_CL_P6T3Ex02
535,自由讨论,活动,LuV_CL_P6T3Ex02_0_DE
536,我们的大日子 - 第十一集,影片（全集）,LuV_CL_P6T3Ex03
537,听力理解测验,活动,LuV_CL_P6T3Ex03_0_OE
538,游学列车 - 第一集,影片（全集）,LuV_CL_P6T3Ex04
539,写作训练（造句）,活动,LuV_CL_P6T3Ex04_0_WE
540,馆我去哪里 - 第一集,影片（全集）,LuV_CL_P6T3Ex05
541,看短片写段,活动,LuV_CL_P6T3Ex05_0_TS
542,成语万花筒 - 第五集,影片（全集）,LuV_CL_P6T3Ex06
543,组句成段,活动,LuV_CL_P6T3Ex06_0_CP
544,女王本色 - 第六集,影片（全集）,LuV_CL_P6T3Ex07
545,自由讨论,活动,LuV_CL_P6T3Ex07_0_SP
546,我的导游是明星 5 - 第七集,影片（全集）,LuV_CL_P6T4Ex01
547,听力理解,活动,LuV_CL_P6T4Ex01_0_SP
548,书包太重 - 第十五集,影片（全集）,LuV_CL_P6T4Ex02
549,针对话题说一段话,活动,LuV_CL_P6T4Ex02_0_CP
550,小厨当家 - 第一集,影片（全集）,LuV_CL_P6T4Ex03
551,针对短片表达感受和看法,活动,LuV_CL_P6T4Ex03_0_LC
552,心晴大动员 - 第六集,影片（全集）,LuV_CL_P6T4Ex05
553,阅读理解,活动,LuV_CL_P6T4Ex05_0_WE
554,成语万花筒 - 第十一集,影片（全集）,LuV_CL_P6T4Ex06
555,短文填空,活动,LuV_CL_P6T4Ex06_0_CP
556,成语万花筒 - 第十集,影片（全集）,LuV_CL_P6T4Ex07
557,组句成段,活动,LuV_CL_P6T4Ex07_0_WE
