Id,Title,Synopsis,Overview,ResourceID,Adding Resources
291,乐学华文 - 书包太重 - 第二集  - My School Daze - Ep 2,"传统华校出身的资深老师谭向春怀才不遇，黯然离开母语教师的岗位，加入太太康巧珍的邻里补习中心。与向春弟弟向风交往的麻辣老师张洛芸，善用花招来获取学生欢心。原本想在教育界平步青云的她，却在伤害了师生关系和升迁无望的情况下离职。加入巧珍的补习中心后，洛芸鼓吹精英教育，向春却坚持有教无类，结果洛芸拉着向风另起炉灶，成立只限精英的高档补习中心。另一边厢，怕输的唐安迪夫妇发现孩子德华念书普通，厨艺天赋却很惊人，他俩终于接受孩子不是读书的料，不排除将来让他往饮食业发展。自认是完美母亲的巧珍惊觉对孩子的管教出了偏差。才女型的女儿无法接受输给中国插班生，暴露了素养的缺乏。儿子则为羽毛球撒谎逃课。夫妻俩几经思量和协调，教导孩子正确的价值观，也肯定了儿子在运动方面的潜能，考虑让他进体育学校。洛芸得知以往的学生患上忧郁症后，全心帮助学生振作起来。这使洛芸认同了向春有教无类的观念，并重返学校，踏实执教。<br/>This drama serial follows the lives of several characters involved in the education sector in Singapore, including ex-teacher Tan Xiangchun, his wife Kang Qiaozhen, who owns a tuition centre, and their children: star pupil Tan Yixin and badminton ace Tan Yijie; and Xiangchun's free-spirited younger brother Tan Xiangfeng and sassy. ambitious Zhang Luoyun, who also eventually leaves teaching and first joins Qiaozhen's tuition centre before starting her own premium tuition centre that accepts only outstanding students. Also featured are Tang Andi and Tao Guijuan,  the stingy, over-anxious parents of Dehua, who is an average student, but has a talent for cooking.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex01,
292,乐学华文 - 成语万花筒 - 第九集 - Proverb Kaleidoscope - Ep 9,"《成语万花筒》节目是一个鼓励大家多学成语，多用成语的比赛节目。节目中一共邀请了本地12所小学的学生来参与比赛，而每所学校将派出4名同学参加比赛。他们将在两位老师的带领之下，面对三个回合的挑战。<br/>Proverb Kaleidoscope is a competition that encourages the learning and use of proverbs in daily life. Each of twelve schools sends four representatives, under the guidance of two teachers, to participate in three challenge rounds.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex02,
293,乐学华文 - 放心出去看 - 第二集 - Gracious Planet - Ep 2,"主持人李国煌将带领观众到不同国家，看看当地的人文素养。通过比较其他国家的人文素质和生活习惯，看看地球的另一端，也能有如此优雅、文明的社会和人民。在节目里，主持人将与一名外国朋友，随着当地家庭一起生活为引，通过他们的生活，遇到的人和事，感受当地人的文化素养。间中两位主持人会有感而发，比较自己生长的国家环境和当地的生活方式有什么差异。 <br/>Host Mark Lee travels to various countries to take a closer look at their local cultures and lifestyles, and experience the hospitality of each society and its residents. In each episode, Mark and another friend stay with a host family and come to understand the culture of their host country more deeply through their daily encounters and also comparing them with their own lifestyles back home.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex03,
294,乐学华文 - 我们的大日子 - 第七集 - Of Rites And Rituals - Ep 7,"此节目是想让观众见识一下一些新加坡人所庆祝的色彩缤纷的节日。在每一集，我们跟随他们的筹备的庆祝仪式和仪式的主角。在展示的节日不同类型的发现和参与过程中，将揭开一系列独特的文化，社会习惯和各民族的习俗。<br/>In each episode, Of Rites and Rituals follows the process of preparation, participation and performance for a particular festival that is celebrated in Singapore.  This showcase reveals and promotes deeper understanding of each unique culture and its people. ","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex04,
295,乐学华文 - 万里香 - 第十集 - Singapore Flavours - Ep 10,"《万里香》将由三个主持人分别到多个不同国家寻找“移居”当地的新加坡美食。海南鸡饭、辣椒螃蟹、叻沙，椰浆饭等国人熟悉的著名美食，到了国外肯定会受到各地取材的限制、厨师的烹调手法、或者当地人口味的影响，而有或多或少的改变。节目每一集将以一道美食为主题，看看它在不同国家到底变成了什么样。《万里香》寻访的目的地方包括东京、北京、上海、三藩市、孟买、加尔各答、阿德莱德、伦敦和曼谷。除了到当地的餐馆品尝本地美食，主持人也去了超级市场看看那里是否售卖本地美食所需的材料，甚至还到居民家中的厨房，看他们如何准备我们喜爱的新加坡美食。<br/>Singapore Flavours follows its three hosts to different countries in search of familar dishes such as Hainanese chicken rice, chilli crab, laksa and nasi lemak that have made their way overseas and been translated to suit the local tastes, availability of ingredients, and skill of the chef. Each episode focuses on one particular dish, and showcases the different versions found throughout several international locations, including Tokyo, Beijing, Shanghai, San Francisco, Mumbai, Jakarta, Adelaide, London and Bangkok.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex05,
296,乐学华文 - 爸爸当家 - 第一集 - Dad @ Home - Ep 1,"A celebrity dad is invited onto the show each week. Viewers will not only be able to see the homes and family members of these celebrities, but will also witness how these dads remind us that no matter how busy one is, the family should not be neglected. Dad @ Home provides an opportunity for celebrity dads to take care of their children and perform household chores that they usually ignore, improving the bond between father and children while allowing busy mums to take a break from the stress of juggling between work and family.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T1Ex06,
297,乐学华文 - 小厨当家 - 第三集 - Teen's Cook Book - Ep 3,"《小厨当家》是本地的一部儿童剧。剧中的女主角Angel是一个在讲英语的家庭环境底下长大的小女孩。她说的华语总是参杂着一些英语，经常让外婆以及身边的朋友听不懂她在讲什么。 <br/>Angel comes from an English-speaking household; thus, her spoken Mandarin is always peppered with English words and phrases, causing her grandmother and some of her friends to constantly misunderstand her.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex01,
298,乐学华文 - 医聊保健 - 第二集 - Lifewise - The Talk Show - Ep 2,"Lifewise - The Talk Show provides nuggets of information about health to everyone striving to lead a healthy lifestyle. It explores the causes and symptoms of various diseases, analyses the burden that chronic diseases impose on individuals and the local medical system, and emphasises the importance of healthy living.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex02,
299,乐学华文 - 放心出去看 - 第七集 - Gracious Planet - Ep 7,"主持人李国煌将带领观众到不同国家，看看当地的人文素养。通过比较其他国家的人文素质和生活习惯，看看地球的另一端，也能有如此优雅、文明的社会和人民。在节目里，主持人将与一名外国朋友，随着当地家庭一起生活为引，通过他们的生活，遇到的人和事，感受当地人的文化素养。间中两位主持人会有感而发，比较自己生长的国家环境和当地的生活方式有什么差异。 <br/>Host Mark Lee travels to various countries to take a closer look at their local cultures and lifestyles, and experience the hospitality of each society and its residents. In each episode, Mark and another friend stay with a host family and come to understand the culture of their host country more deeply through their daily encounters and also comparing them with their own lifestyles back home.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex03,
300,乐学华文 - 小厨当家 - 第二集 - Teen's Cook Book - Ep 2,"《小厨当家》是本地的一部儿童剧。剧中的女主角Angel是一个在讲英语的家庭环境底下长大的小女孩。她说的华语总是参杂着一些英语，经常让外婆以及身边的朋友听不懂她在讲什么。 <br/>Angel comes from an English-speaking household; thus, her spoken Mandarin is always peppered with English words and phrases, causing her grandmother and some of her friends to constantly misunderstand her.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex04,
301,乐学华文 - 游学列车 - 第六集 - Super Train - Ep 6,"《游学列车》是由两位年轻的艺人李腾和Pornsok主持。他们将带领小朋友展开一段历史与人文之旅。每集的节目将会有两组的小朋友接受挑战，他们会到全岛各大地铁站寻找提示以完成任务，而在最段时间内完成任务的一组将会是赢家。 <br/>Hosts Lee Teng and Pornsak take children on a journey through history. Each week, two groups of children race against each other in challenges that see them visiting train stations all over Singapore to complete given tasks.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex05,
302,乐学华文 - 爱上小红点 - 第十集 - Code Red - Ep 10,"于2007年6月，在阳光明媚的新加坡岛将刮起一阵红色的波浪。来自各行各业的新加坡人将积极地参加这一个全国性的寻宝行为。随着主持人彭耀顺、鐘琴、谢韵仪及杨志龙一同发掘你从来不知道新加坡的！<br/> Code Red sees people from all walks of life coming together to compete in an islandwide treasure hunt, led by hosts Adrian Pang, Kym Ng, Michelle Chia and Ben Yeo.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex06,
303,乐学华文 - 女王本色 - 第二集 - Paris & Milan - Ep 2,"A half-hour comedy-style programme featuring highlights of social issues, current affairs and entertainment news, Paris & Milan aims to help viewers see the lighter side of an issue through skits, spoofs, cheeky on-the-street interviews, and hidden-camera situations.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T2Ex07,
304,乐学华文 - 放心出去看 - 第一集 - Gracious Planet - Ep 1,"主持人李国煌将带领观众到不同国家，看看当地的人文素养。通过比较其他国家的人文素质和生活习惯，看看地球的另一端，也能有如此优雅、文明的社会和人民。在节目里，主持人将与一名外国朋友，随着当地家庭一起生活为引，通过他们的生活，遇到的人和事，感受当地人的文化素养。间中两位主持人会有感而发，比较自己生长的国家环境和当地的生活方式有什么差异。 <br/>Host Mark Lee travels to various countries to take a closer look at their local cultures and lifestyles, and experience the hospitality of each society and its residents. In each episode, Mark and another friend stay with a host family and come to understand the culture of their host country more deeply through their daily encounters and also comparing them with their own lifestyles back home.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex01,
305,乐学华文 - 我们的大日子 - 第十一集 - Of Rites And Rituals - Ep 11,"此节目是想让观众见识一下一些新加坡人所庆祝的色彩缤纷的节日。在每一集，我们跟随他们的筹备的庆祝仪式和仪式的主角。在展示的节日不同类型的发现和参与过程中，将揭开一系列独特的文化，社会习惯和各民族的习俗。<br/>In each episode, Of Rites and Rituals follows the process of preparation, participation and performance for a particular festival that is celebrated in Singapore.  This showcase reveals and promotes deeper understanding of each unique culture and its people. ","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex02,
306,乐学华文 - 游学列车 - 第一集 - Super Train - Ep 1,"《游学列车》是由两位年轻的艺人李腾和Pornsok主持。他们将带领小朋友展开一段历史与人文之旅。每集的节目将会有两组的小朋友接受挑战，他们会到全岛各大地铁站寻找提示以完成任务，而在最段时间内完成任务的一组将会是赢家。 <br/>Hosts Lee Teng and Pornsak take children on a journey through history. Each week, two groups of children race against each other in challenges that see them visiting train stations all over Singapore to complete given tasks.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex03,
307,乐学华文 - 馆我去哪里 - 第一集 - Amuse Me - Ep 1,"此节目将带领观众展开一段有趣又好玩的博物馆之旅。每集的节目，两位主持人将为大家介绍新加坡各个大大小小的博物馆，从而了解更多有关新加坡早期的发展以及文化历史等。<br/> Amuse Me takes the viewers on an interesting, fun journey through the various museums in Singapore, leading to a better understanding of the nation's early days, its development, and the various cultural histories embodied within.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex04,
308,乐学华文 - 成语万花筒 - 第五集 - Proverb Kaleidoscope - Ep 5,"《成语万花筒》节目是一个鼓励大家多学成语，多用成语的比赛节目。节目中一共邀请了本地12所小学的学生来参与比赛，而每所学校将派出4名同学参加比赛。他们将在两位老师的带领之下，面对三个回合的挑战。<br/>Proverb Kaleidoscope is a competition that encourages the learning and use of proverbs in daily life. Each of twelve schools sends four representatives, under the guidance of two teachers, to participate in three challenge rounds.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex05,
309,乐学华文 - 女王本色 - 第六集 - Paris & Milan - Ep 6,"A half-hour comedy-style programme featuring highlights of social issues, current affairs and entertainment news, Paris & Milan aims to help viewers see the lighter side of an issue through skits, spoofs, cheeky on-the-street interviews, and hidden-camera situations.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P5T3Ex06,
