Id,Title,Type,res
368,Bring Your Toothbrush 2 - Ep 10,Video (Full Episode),LuV_EL_P34T0Ex01
369,Listening Comprehension 1,Activity,LuV_EL_P34T0Ex01_0_LC
370,Listening Comprehension 2,Activity,LuV_EL_P34T0Ex01_1_LC
371,Listening Comprehension 3,Activity,LuV_EL_P34T0Ex01_2_LC
372,Bring Your Toothbrush 2 - Ep 5,Video (Full Episode),LuV_EL_P34T0Ex02
373,Listening Comprehension 1,Activity,LuV_EL_P34T0Ex02_0_LC
374,Listening Comprehension 2,Activity,LuV_EL_P34T0Ex02_1_LC
375,Listening Comprehension 3,Activity,LuV_EL_P34T0Ex02_2_LC
376,School House Rockz - Ep 3,Video (Full Episode),LuV_EL_P34T0Ex03
377,Writing Exercise   ,Activity,LuV_EL_P34T0Ex03_0_WE
378,The Tales of Alex and Weero - Ep 3,Video (Full Episode),LuV_EL_P34T0Ex04
379,Open-ended Comprehension,Activity,LuV_EL_P34T0Ex04_0_OE
380,Listening Comprehension,Activity,LuV_EL_P34T0Ex04_1_LC
381,Dish with Vivien - Ep 1,Video (Full Episode),LuV_EL_P34T0Ex05
382,Language Use   ,Activity,LuV_EL_P34T0Ex05_0_LU
383,Writing Exercise   ,Activity,LuV_EL_P34T0Ex05_1_WE
384,Zoo TV - Ep 8,Video (Full Episode),LuV_EL_P34T0Ex06
385,Show and Tell,Activity,LuV_EL_P34T0Ex06_0_TS
386,Listening Comprehension,Activity,LuV_EL_P34T0Ex06_1_LC
387,Lose to Win - Ep 1,Video (Full Episode),LuV_EL_P34T0Ex07
388,Open Discussion,Activity,LuV_EL_P34T0Ex07_0_OD
389,Open-ended Comprehension,Activity,LuV_EL_P34T0Ex07_1_OE
390,Heartland Getaways 2 - Ep 1,Video (Full Episode),LuV_EL_P34T0Ex08
391,Writing Exercise,Activity,LuV_EL_P34T0Ex08_0_WE
392,Language Use  ,Activity,LuV_EL_P34T0Ex08_1_LU
393,Note-taking,Activity,LuV_EL_P34T0Ex08_2_NT
394,Heartland Getaways 2 - Ep 2,Video (Full Episode),LuV_EL_P34T0Ex09
395,Comprehension,Activity,LuV_EL_P34T0Ex09_0_OE
396,Heartland Getaways 2 - Ep 9,Video (Full Episode),LuV_EL_P34T0Ex10
397,Speaking Activity,Activity,LuV_EL_P34T0Ex10_0_SA
398,Wow Wow World - Ep 2,Video (Full Episode),LuV_EL_P34T0Ex11
399,Listening Comprehension,Activity,LuV_EL_P34T0Ex11_0_LC
400,Wow Wow World - Ep 3,Video (Full Episode),LuV_EL_P34T0Ex12
401,Note-taking,Activity,LuV_EL_P34T0Ex12_0_NT
402,Kids United - Ep 10,Video (Full Episode),LuV_EL_P34T0Ex13
403,Writing Exercise  ,Activity,LuV_EL_P34T0Ex13_0_WE
404,Spirit of Champions - Ep 7,Video (Full Episode),LuV_EL_P34T0Ex14
405,Writing Exercise ,Activity,LuV_EL_P34T0Ex14_0_WE
406,Beyond the Physical - Ep 1,Video (Full Episode),LuV_EL_P34T0Ex15
407,Open Discussion,Activity,LuV_EL_P34T0Ex15_0_OD
408,The Tales of Alex and Weero - Ep 2,Video (Full Episode),LuV_EL_P34T0Ex17
409,Language Use   ,Activity,LuV_EL_P34T0Ex17_0_LU
