Id,Title,Synopsis,Overview,ResourceID,Adding Resources
251,LuVEnglish - Ka Ching - Ep 1,"Welcome to ‘Ka ching!’; a half-hour show that’ll test kids on their knowledge of moneymatics – and get them to enjoy learning about money!  Each week, two teams of three participants aged between 9 and 12 will be picked to finance their very own companies.  Watch how they take up the challenge of making money for their companies through various fun-filled tasks assigned to them!  And that’s not all!  Along the way our kids will learn how to invest, save or budget their company’s money with the challenges featured in the show. <br/>Hosted by two zany hosts, who know their wallets inside out…well, not quite actually (cough, cough) expect ‘Trump-fuls’ of drama, muddle and of course mulah!  A three-course money meal to whet any kid’s viewing appetite!","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex01,"LuV_EL_P56T0Ex01,LuV_EL_P56T0Ex01_0_OD"
252,LuVEnglish - Ka Ching - Ep 7,"Welcome to ‘Ka ching!’; a half-hour show that’ll test kids on their knowledge of moneymatics – and get them to enjoy learning about money!  Each week, two teams of three participants aged between 9 and 12 will be picked to finance their very own companies.  Watch how they take up the challenge of making money for their companies through various fun-filled tasks assigned to them!  And that’s not all!  Along the way our kids will learn how to invest, save or budget their company’s money with the challenges featured in the show. <br/>Hosted by two zany hosts, who know their wallets inside out…well, not quite actually (cough, cough) expect ‘Trump-fuls’ of drama, muddle and of course mulah!  A three-course money meal to whet any kid’s viewing appetite!","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex02,"LuV_EL_P56T0Ex02,LuV_EL_P56T0Ex02_0_OD"
253,LuVEnglish - Saving Gaia 2 - Ep 2,"Gaia in Greek means ""Earth"" and is synonymous with ""Mother Earth"". Over the years, the lack of respect for Gaia by humans, through the damage done to rainforests, pollution and the reduction in planetary biodiversity, is testing Gaia's capacity to minimise the effect of greenhouse gases in the atmosphere. Besides examining all these environmental issues in Asian countries like Vietnam, Japan, Malaysia, Indonesia, China and India, Saving Gaia also explores the world's search for alternative fuel and look at how Asia moves to turn its environmental problems around.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex03,"LuV_EL_P56T0Ex03,LuV_EL_P56T0Ex03_0_LU,LuV_EL_P56T0Ex03_1_WE"
254,LuVEnglish - Phua Chu Kang Pte Ltd  Season 8 - Ep 8,"With eight seasons in its lofty bag, Phua Chu Kang Pte Ltd is officially MediaCorp’s longest-running sitcom. The season to end all seasons is here. As Phua Chu Kang Pte Ltd makes its final stab at television here in end-Oct. <br/>The eighth and last season promises to relive the legacy of the decade-old sitcom highlighting special guests from Singapore Idol, Growing Up and My Sassy Neighbour etc..<br/>What’s more, Gurmit directs one of the episodes!!","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex04,"LuV_EL_P56T0Ex04,LuV_EL_P56T0Ex04_0_SD,LuV_EL_P56T0Ex04_1_OD"
255,LuVEnglish - Homeward Journeys - Ep 1,"This is a travel documentary with a difference, placing the emphasis squarely on human relations while touching on universal themes of homecoming, love, change and reconciliation.  Each episode sees an expatriate who lives in Singapore returning home and introducing life in his/her hometown to a Singaporean travelling companion.  It also reveals the expatriate's  relationship with dear ones back home as the story unfolds. <br/>From heart-warming stories of native sons and daughters coming to grips with the changing times, rediscovering once familiar homes, to honest looks at Singaporeans dealing with being away from the comfort of their air-conditioned homes.  This programme will give unique perspectives of family and friendship throughout  Asia's diverse and colourful nations.<br/>With the drive towards modernization gathering pace with each passing year, will the countries of our profile's origin still be recognizable to these returning sons and daughters?  And will the Singaporean travellers be willing to immerse themselves in the rich traditions of these Asian countries, or will proximity have a diminishing effect on their exotic appeal?  Our profiles will appear before the camera to bring Asia closer to the viewers.<br/>Homeward Journeys Season brings excellent cinematography to the viewers while imparting information and shedding light on the Asian culture, customs and way of life. It hopes to touch the viewers' hearts and bring about an awakening and appreciation of the relationships that surround them.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex05,"LuV_EL_P56T0Ex05,LuV_EL_P56T0Ex05_0_LC,LuV_EL_P56T0Ex05_1_OE"
256,LuVEnglish - Global Citizen - Ep 4,"More than ever, professionals are crossing borders to work in foreign lands.  How do they view the native culture?  What are their struggles?  Where do they call home?  Global Citizens provides an interesting take on some of the most colourful cities in the most diverse continent on earth.  We explore the lives and livelihoods of expatriates as they manoeuvre in alien cultures – discovering social taboos, integrating with the locals, finding love and settling down.  Expatriates, each driven by a unique motivation, are living their dreams and making their marks in Asia.  In each episode, two divergent subjects are featured in each city.  Their stories are eye-opening at times, often inspiring, and always engaging.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex06,"LuV_EL_P56T0Ex06,LuV_EL_P56T0Ex06_0_WE"
257,LuVEnglish - Saving Gaia 2 - Ep3,"Gaia in Greek means ""Earth"" and is synonymous with ""Mother Earth"". Over the years, the lack of respect for Gaia by humans, through the damage done to rainforests, pollution and the reduction in planetary biodiversity, is testing Gaia's capacity to minimise the effect of greenhouse gases in the atmosphere. Besides examining all these environmental issues in Asian countries like Vietnam, Japan, Malaysia, Indonesia, China and India, Saving Gaia also explores the world's search for alternative fuel and look at how Asia moves to turn its environmental problems around.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex07,"LuV_EL_P56T0Ex07,LuV_EL_P56T0Ex07_0_WE"
258,LuVEnglish - Saving Gaia 2 - Ep5,"Gaia in Greek means ""Earth"" and is synonymous with ""Mother Earth"". Over the years, the lack of respect for Gaia by humans, through the damage done to rainforests, pollution and the reduction in planetary biodiversity, is testing Gaia's capacity to minimise the effect of greenhouse gases in the atmosphere. Besides examining all these environmental issues in Asian countries like Vietnam, Japan, Malaysia, Indonesia, China and India, Saving Gaia also explores the world's search for alternative fuel and look at how Asia moves to turn its environmental problems around.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex08,"LuV_EL_P56T0Ex08,LuV_EL_P56T0Ex08_0_OD"
259,LuVEnglish - Asia’s Wonder Kids 3 - Ep 5,"Child prodigies are a fascinating phenomenon.  They exist as testimonies that human beings are capable of extraordinary feats, more so when accomplished at a tender age.  But their astonishing abilities have long confounded scientists.  Only recently has research thrown up findings that the brains of these extremely smart children function in a totally different way compared to the average child.  So how differently do the minds of these wunderkinds work? And are their gifted intellects a result of genetics or a product of nurture?<br/>Asian Wonder Kids aims to explore these perennial questions and more, such as the evolving definition of what makes a child prodigy, and how their upbringing plays a role in honing their abilities.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex09,"LuV_EL_P56T0Ex09,LuV_EL_P56T0Ex09_0_WE"
260,LuVEnglish - Champs - Ep 11,"Champs Challenge Wise Up to Money is a fun, high-energy outdoor race in which kids in teams of 3 will go through obstacle courses, identify locations a la Amazing Race, and compete in tests of general knowledge, and mathematical and budgeting ability.  The show aims to make sense of money issues for kids but not in the conventional way.  Combining reality, information and entertainment, the show presents concepts such as budgeting and financial planning in a fun and exciting manner.  Each week, the kids are presented with challenges and are expected to earn their keep by solving these challenges.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P56T0Ex10,"LuV_EL_P56T0Ex10,LuV_EL_P56T0Ex10_0_SA"
