Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex1_1_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex2_1_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex2_2_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex2_3_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex2_4_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex3_1_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex3_2_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex3_3_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex3_4_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex3_5_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex4_1_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex4_2_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex4_3_0_Qns,1
New Essential Grammar Practice,P6,1,1,Nouns,Nouns - Part 1,PEL_EssGraPra_P6_Nou_Ex4_4_0_Qns,1
