Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0001_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0002_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0003_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0004_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0005_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0006_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0007_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0008_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0009_MCQ,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0010_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0011_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0012_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0013_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0014_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0015_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0016_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0017_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0018_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0019_FIB,1
Q-Setter,P2,1,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0020_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0021_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0022_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0023_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0024_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0025_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0026_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0027_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0028_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0029_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0030_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0031_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0032_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0033_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0034_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0035_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0036_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0037_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0038_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0039_FIB,1
Q-Setter,P2,2,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0040_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0041_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0042_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0043_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0044_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0045_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0046_FIB,2
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0047_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0048_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0049_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0050_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0051_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0052_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0053_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0054_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0055_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0056_FIB,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0057_MAT,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0058_MAT,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0059_MAT,1
Q-Setter,P2,3,A,Numbers,Numbers up to 1000,PMA_Qsetter_P2_0_0060_MAT,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0061_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0062_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0063_MCQ,2
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0064_MCQ,2
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0065_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0066_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0067_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0068_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0069_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0070_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0071_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0072_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P2_0_0073_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P2_0_0074_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P2_0_0075_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P2_0_0076_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Subtraction,PMA_Qsetter_P2_0_0077_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0078_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0079_MCQ,1
Q-Setter,P2,4,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0080_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0081_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0082_MCQ,2
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0083_MCQ,2
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0084_MCQ,2
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0085_MCQ,2
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0086_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0087_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0088_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0089_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0090_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0091_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0092_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0093_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0094_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0095_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0096_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0097_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0098_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0099_MCQ,1
Q-Setter,P2,5,A,Addition and Subtraction,Addition ,PMA_Qsetter_P2_0_0100_MCQ,1
