Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_001_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_002_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_003_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_004_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_005_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_006_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_007_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_008_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_009_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_010_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_011_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_012_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_013_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_014_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_015_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_016_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_017_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_018_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_019_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_020_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_021_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_022_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_023_MCQ_Qns,1
I-Science PSLE Guide,P6,1,1,Specimen Papers,Specimen Papers,PSC_iSci_PSLE_SP1_0_024_MCQ_Qns,1
