Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_1_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_2_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_3_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_4_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_5_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_6_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_7_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_8_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_9_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_10_1_0_MCQ,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_11_1_0_OE,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_12_1_0_OE,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_13_1_0_OE,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_14_1_0_OE,1
I-Science Powerhouse,P5P6,1,1,Cycles,Water,PSC_iSciPH_UB_Cyc_C1_15_1_0_OE,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_1_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_2_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_3_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_4_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_5_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_6_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_7_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_8_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_9_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_10_1_0_MCQ,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_11_1_0_OE,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_12_1_0_OE,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_13_1_0_OE,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_14_1_0_OE,1
I-Science Powerhouse,P5P6,2,1,Cycles,Reproduction in Plants,PSC_iSciPH_UB_Cyc_C2_15_1_0_OE,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_1_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_2_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_3_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_4_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_5_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_6_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_7_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_8_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_9_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_10_1_0_MCQ,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_11_1_0_OE,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_12_1_0_OE,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_13_1_0_OE,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_14_1_0_OE,1
I-Science Powerhouse,P5P6,3,1,Cycles,Sexual Reproduction in Humans,PSC_iSciPH_UB_Cyc_C3_15_1_0_OE,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_1_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_2_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_3_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_4_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_5_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_6_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_7_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_8_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_9_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_10_1_0_MCQ,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_11_1_0_OE,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_12_1_0_OE,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_13_1_0_OE,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_14_1_0_OE,1
I-Science Powerhouse,P5P6,4,1,Systems,Systems in Living Things,PSC_iSciPH_UB_Sys_C1_15_1_0_OE,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_1_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_2_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_3_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_4_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_5_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_6_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_7_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_8_1_0_MCQ,1
I-Science Powerhouse,P5P6,5,1,Systems,Cell,PSC_iSciPH_UB_Sys_C2_9_1_0_MCQ,1
