Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0001_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0002_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0003_FIB,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0004_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0005_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,1,1,Diversity,Classifying things,PSC_MPHLB_Diversity_0_0006_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0007_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0008_FIB,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0009_FIB,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0010_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0011_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,2,1,Diversity,Plants,PSC_MPHLB_Diversity_0_0012_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,3,1,Diversity,Animals,PSC_MPHLB_Diversity_0_0013_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,3,1,Diversity,Animals,PSC_MPHLB_Diversity_0_0014_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,3,1,Diversity,Animals,PSC_MPHLB_Diversity_0_0015_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,3,1,Diversity,Animals,PSC_MPHLB_Diversity_0_0016_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,3,1,Diversity,Animals,PSC_MPHLB_Diversity_0_0017_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0018_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0019_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0020_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0021_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0022_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0023_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,4,1,Diversity,Classifying animals,PSC_MPHLB_Diversity_0_0024_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,5,1,Diversity,Fungi and bacteria,PSC_MPHLB_Diversity_0_0025_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,5,1,Diversity,Fungi and bacteria,PSC_MPHLB_Diversity_0_0026_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,5,1,Diversity,Fungi and bacteria,PSC_MPHLB_Diversity_0_0027_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0028_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0029_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0030_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0031_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0032_OE,1
MY PALS ARE HERE! Science Process Skills Primary 3&4,P3,6,1,Diversity,Exploring materials,PSC_MPHLB_Diversity_0_0033_MAT,1
