Book Title,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_1_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_2_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_3_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_4_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_5_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_6_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_7_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_8_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBAT1KR_Div_9_0_Q_FIB,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBATP1A_Div_1_0_Q_MCQ,1
Oxford Primary Essentials Science Test Papers P3&4 Book A,P3,1,A,Diversity,Classifying Things and Characteristic Of Living Things,PSC_LBATP1A_Div_2_0_Q_MCQ,1
