Subject,Level,Ex,Sub,Topic,Description,Resource ID,Difficulty Level
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0001_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0002_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0003_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0004_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0005_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0006_MCQ,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0007_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0008_MCQ,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0009_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0010_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0011_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0012_MCQ,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0013_FIB,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0014_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0015_MCQ,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0016_MCQ,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0017_OE,2
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0018_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0019_OE,1
PSC,P6,1,A,Cycles,Water,PSC_iScience_UB_0_0020_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0021_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0022_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0023_OE,2
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0024_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0025_MCQ,2
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0026_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0027_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0028_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0029_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0030_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0031_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0032_OE,2
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0033_OE,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0034_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0035_MCQ,2
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0036_MCQ,1
PSC,P6,2,A,Cycles,Water,PSC_iScience_UB_0_0037_MCQ,1
